Date : 2025-10-11 02:28:07
Directory : /Users/ahmetselim/paletevreni
Total : 106 files,  16751 codes, 442 comments, 1109 blanks, all 18302 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/ahmetselim/paletevreni/app/admin/(protected)/renewals/page.tsx             | TypeScript JSX     |        325 |         10 |         26 |        361 |
| /Users/ahmetselim/paletevreni/app/admin/(protected)/settings/page.tsx             | TypeScript JSX     |         48 |          2 |          7 |         57 |
| /Users/ahmetselim/paletevreni/app/admin/(protected)/students/page.tsx             | TypeScript JSX     |        630 |         30 |         38 |        698 |
| /Users/ahmetselim/paletevreni/app/admin/(protected)/trials/page.tsx               | TypeScript JSX     |        645 |         27 |         57 |        729 |
| /Users/ahmetselim/paletevreni/app/admin/page.tsx                                  | TypeScript JSX     |         10 |          0 |          4 |         14 |
| /Users/ahmetselim/paletevreni/app/admin/signin/page.tsx                           | TypeScript JSX     |         11 |          1 |          4 |         16 |
| /Users/ahmetselim/paletevreni/app/admin/signin/signinClient.tsx                   | TypeScript JSX     |         80 |          1 |         15 |         96 |
| /Users/ahmetselim/paletevreni/app/api/admin/applications/delete/route.ts          | TypeScript         |         63 |          8 |         13 |         84 |
| /Users/ahmetselim/paletevreni/app/api/admin/applications/route.ts                 | TypeScript         |         16 |          1 |          5 |         22 |
| /Users/ahmetselim/paletevreni/app/api/admin/applications/update/route.ts          | TypeScript         |         37 |          4 |          7 |         48 |
| /Users/ahmetselim/paletevreni/app/api/admin/attendance/bulk_upsert/route.ts       | TypeScript         |         23 |          2 |          6 |         31 |
| /Users/ahmetselim/paletevreni/app/api/admin/attendance/list/route.ts              | TypeScript         |         18 |          1 |          5 |         24 |
| /Users/ahmetselim/paletevreni/app/api/admin/auth/login/route.ts                   | TypeScript         |         47 |          5 |          9 |         61 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/assign/route.ts               | TypeScript         |         33 |          2 |          7 |         42 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/create/route.ts               | TypeScript         |         17 |          0 |          5 |         22 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/delete/route.ts               | TypeScript         |         24 |          0 |          6 |         30 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/list/route.ts                 | TypeScript         |         26 |          1 |          9 |         36 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/message/route.ts              | TypeScript         |         81 |          2 |         15 |         98 |
| /Users/ahmetselim/paletevreni/app/api/admin/classes/update/route.ts               | TypeScript         |         30 |          1 |          6 |         37 |
| /Users/ahmetselim/paletevreni/app/api/admin/dashboard/recent/route.ts             | TypeScript         |         75 |          6 |         15 |         96 |
| /Users/ahmetselim/paletevreni/app/api/admin/dashboard/revenue-by-month/route.ts   | TypeScript         |         30 |          2 |          8 |         40 |
| /Users/ahmetselim/paletevreni/app/api/admin/dashboard/summary/route.ts            | TypeScript         |         36 |          3 |          8 |         47 |
| /Users/ahmetselim/paletevreni/app/api/admin/gallery/route.ts                      | TypeScript         |         87 |          1 |         19 |        107 |
| /Users/ahmetselim/paletevreni/app/api/admin/logout/route.ts                       | TypeScript         |         25 |          3 |          3 |         31 |
| /Users/ahmetselim/paletevreni/app/api/admin/packages/list/route.ts                | TypeScript         |         86 |          7 |         13 |        106 |
| /Users/ahmetselim/paletevreni/app/api/admin/packages/route.ts                     | TypeScript         |         86 |          7 |         13 |        106 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/create/route.ts              | TypeScript         |         76 |          7 |         14 |         97 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/delete/route.ts              | TypeScript         |         21 |          6 |          7 |         34 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/list-per-student/route.ts    | TypeScript         |         85 |          6 |         11 |        102 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/list/route.ts                | TypeScript         |         34 |          3 |          7 |         44 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/remind/route.ts              | TypeScript         |        129 |         11 |         22 |        162 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/student-summary/route.ts     | TypeScript         |         17 |          0 |          4 |         21 |
| /Users/ahmetselim/paletevreni/app/api/admin/payments/update/route.ts              | TypeScript         |         54 |          7 |         16 |         77 |
| /Users/ahmetselim/paletevreni/app/api/admin/renewals/create/route.ts              | TypeScript         |         21 |          2 |          5 |         28 |
| /Users/ahmetselim/paletevreni/app/api/admin/renewals/list/route.ts                | TypeScript         |         37 |          1 |          5 |         43 |
| /Users/ahmetselim/paletevreni/app/api/admin/renewals/new/route.ts                 | TypeScript         |         26 |          1 |          6 |         33 |
| /Users/ahmetselim/paletevreni/app/api/admin/renewals/student-status-list/route.ts | TypeScript         |         28 |          4 |          5 |         37 |
| /Users/ahmetselim/paletevreni/app/api/admin/studentpackages/create/route.ts       | TypeScript         |         94 |          5 |         19 |        118 |
| /Users/ahmetselim/paletevreni/app/api/admin/studentpackages/for-student/route.ts  | TypeScript         |         24 |          0 |          7 |         31 |
| /Users/ahmetselim/paletevreni/app/api/admin/studentpackages/last/route.ts         | TypeScript         |         87 |          6 |         11 |        104 |
| /Users/ahmetselim/paletevreni/app/api/admin/studentpackages/list/route.ts         | TypeScript         |         45 |          4 |          8 |         57 |
| /Users/ahmetselim/paletevreni/app/api/admin/studentpackages/renew/route.ts        | TypeScript         |        114 |         15 |         21 |        150 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/list/route.ts                | TypeScript         |         53 |          3 |         12 |         68 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/manual/route.ts              | TypeScript         |         37 |          0 |          9 |         46 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/mark-left/route.ts           | TypeScript         |         21 |          2 |          4 |         27 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/message/route.ts             | TypeScript         |         17 |          3 |          6 |         26 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/promote/route.ts             | TypeScript         |         26 |          2 |          6 |         34 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/status/route.ts              | TypeScript         |         21 |          5 |          8 |         34 |
| /Users/ahmetselim/paletevreni/app/api/admin/students/update/route.ts              | TypeScript         |         29 |          1 |          7 |         37 |
| /Users/ahmetselim/paletevreni/app/api/admin/trials/approve/route.ts               | TypeScript         |         39 |          8 |         11 |         58 |
| /Users/ahmetselim/paletevreni/app/api/admin/trials/day/route.ts                   | TypeScript         |         27 |          0 |          7 |         34 |
| /Users/ahmetselim/paletevreni/app/api/admin/trials/manual/route.ts                | TypeScript         |         29 |          1 |          6 |         36 |
| /Users/ahmetselim/paletevreni/app/api/admin/trials/message/route.ts               | TypeScript         |         82 |          8 |         14 |        104 |
| /Users/ahmetselim/paletevreni/app/api/admin/trials/note/route.ts                  | TypeScript         |         20 |          0 |          6 |         26 |
| /Users/ahmetselim/paletevreni/app/api/packages/list/route.ts                      | TypeScript         |         19 |          0 |          4 |         23 |
| /Users/ahmetselim/paletevreni/app/atolye/Testimonials.tsx                         | TypeScript JSX     |         92 |          4 |         12 |        108 |
| /Users/ahmetselim/paletevreni/app/atolye/page.tsx                                 | TypeScript JSX     |        157 |         13 |         13 |        183 |
| /Users/ahmetselim/paletevreni/app/basvuru/layout.tsx                              | TypeScript JSX     |         14 |          1 |          2 |         17 |
| /Users/ahmetselim/paletevreni/app/basvuru/page.tsx                                | TypeScript JSX     |        478 |         20 |         54 |        552 |
| /Users/ahmetselim/paletevreni/app/blocks/Sections.tsx                             | TypeScript JSX     |        441 |         15 |         36 |        492 |
| /Users/ahmetselim/paletevreni/app/components/Footer.tsx                           | TypeScript JSX     |        127 |          9 |          9 |        145 |
| /Users/ahmetselim/paletevreni/app/components/Hero.tsx                             | TypeScript JSX     |        499 |         23 |         42 |        564 |
| /Users/ahmetselim/paletevreni/app/components/PublicOnlyWhatsApp.tsx               | TypeScript JSX     |          8 |          2 |          3 |         13 |
| /Users/ahmetselim/paletevreni/app/components/TanitimCarousel.tsx                  | TypeScript JSX     |        220 |         15 |         26 |        261 |
| /Users/ahmetselim/paletevreni/app/components/WhatsappButton.tsx                   | TypeScript JSX     |         38 |          0 |          5 |         43 |
| /Users/ahmetselim/paletevreni/app/galerimiz/page.tsx                              | TypeScript JSX     |        125 |          1 |         11 |        137 |
| /Users/ahmetselim/paletevreni/app/globals.css                                     | PostCSS            |         34 |          3 |          7 |         44 |
| /Users/ahmetselim/paletevreni/app/hakkimizda/page.tsx                             | TypeScript JSX     |        189 |          1 |         15 |        205 |
| /Users/ahmetselim/paletevreni/app/layout.tsx                                      | TypeScript JSX     |         31 |          1 |          3 |         35 |
| /Users/ahmetselim/paletevreni/app/lib/adminSessions.ts                            | TypeScript         |         40 |          1 |          8 |         49 |
| /Users/ahmetselim/paletevreni/app/lib/adminSessionsEdge.ts                        | TypeScript         |         71 |          3 |          8 |         82 |
| /Users/ahmetselim/paletevreni/app/lib/hooks/useAdminApi.ts                        | TypeScript         |         46 |          2 |          8 |         56 |
| /Users/ahmetselim/paletevreni/app/lib/supabase/client.ts                          | TypeScript         |         12 |          0 |          2 |         14 |
| /Users/ahmetselim/paletevreni/app/lib/supabase/server.ts                          | TypeScript         |         23 |          1 |          2 |         26 |
| /Users/ahmetselim/paletevreni/app/lib/supabase/serverAdmin.ts                     | TypeScript         |          8 |          1 |          2 |         11 |
| /Users/ahmetselim/paletevreni/app/lib/supabase/types.ts                           | TypeScript         |        115 |          2 |          2 |        119 |
| /Users/ahmetselim/paletevreni/app/lib/supabaseServer.ts                           | TypeScript         |         20 |          0 |          1 |         21 |
| /Users/ahmetselim/paletevreni/app/lib/utils.ts                                    | TypeScript         |          3 |          1 |          1 |          5 |
| /Users/ahmetselim/paletevreni/app/page.tsx                                        | TypeScript JSX     |         38 |          3 |          5 |         46 |
| /Users/ahmetselim/paletevreni/app/tanitim-videolari/page.tsx                      | TypeScript JSX     |         39 |          2 |          7 |         48 |
| /Users/ahmetselim/paletevreni/eslint.config.mjs                                   | JavaScript         |         11 |          2 |          2 |         15 |
| /Users/ahmetselim/paletevreni/middleware.off.ts                                   | TypeScript         |         16 |          2 |          5 |         23 |
| /Users/ahmetselim/paletevreni/next.config.js                                      | JavaScript         |          5 |          3 |          1 |          9 |
| /Users/ahmetselim/paletevreni/next.config.ts                                      | TypeScript         |          4 |          1 |          3 |          8 |
| /Users/ahmetselim/paletevreni/package-lock.json                                   | JSON               |      7,278 |          0 |          1 |      7,279 |
| /Users/ahmetselim/paletevreni/package.json                                        | JSON               |         37 |          0 |          1 |         38 |
| /Users/ahmetselim/paletevreni/postcss.config.mjs                                  | JavaScript         |          4 |          0 |          2 |          6 |
| /Users/ahmetselim/paletevreni/public/file.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/ahmetselim/paletevreni/public/globe.svg                                    | XML                |        500 |          0 |          5 |        505 |
| /Users/ahmetselim/paletevreni/public/next.svg                                     | XML                |          1 |          0 |          0 |          1 |
| /Users/ahmetselim/paletevreni/public/vercel.svg                                   | XML                |         10 |          0 |          2 |         12 |
| /Users/ahmetselim/paletevreni/public/window.svg                                   | XML                |          1 |          0 |          0 |          1 |
| /Users/ahmetselim/paletevreni/tailwind.config.ts                                  | TypeScript         |         25 |          2 |          2 |         29 |
| /Users/ahmetselim/paletevreni/tsconfig.json                                       | JSON with Comments |         24 |          0 |          1 |         25 |
| Total                                                                             |                    |     16,751 |        442 |      1,109 |     18,302 |
+-----------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
